name,ean,category,subcategory,price_gross,price_net,price_tax
Blue Band Kookroom 15% Vet 250ml,8719200067578,Zuivel & Eieren,Room,1.09,1.0,0.09
Blue Band Margarine 250g,8719200022003,Zuivel & Eieren,"Boter, Magarine",1.59,1.46,0.13
Boerensoepgroente 500gr,8718477043407,Fruit & Groente,Gesneden groenten,2.09,1.92,0.17
Bolletje Fries Roggebrood 250g,8710482533591,Bakkerij,Crackers & beschuit,0.99,0.91,0.08
Bolletje Schuddebuikjes Speculaas 300g,8710482532112,Ontbijt,Zoet broodbeleg,1.79,1.64,0.15
Bolletje Zoute Pepsels 180g,8710482533102,Snoep & Chips,Chips,0.99,0.91,0.08
Bonduelle Crispy Mais 300g,3083681025484,Fruit & Groente,Groenten in blik,1.79,1.64,0.15
Bonduelle Groenteconserven Crispy Maïs Bio 300g,3083681002393,Fruit & Groente,Groenten in blik,2.29,2.1,0.19
Bonduelle Groenteconserven Zwarte Bonen 2 mini packs 200g,3083681012606,Fruit & Groente,Groenten in blik,1.39,1.28,0.11
Bonne Maman Confiture Aardbeien 370g,3045320082586,Ontbijt,Zoet broodbeleg,2.29,2.1,0.19
Bonne Maman Confiture Abrikozen 370g,3045320082593,Ontbijt,Zoet broodbeleg,2.29,2.1,0.19
Bontà Divina Tiramisu 180g (Netherlands),8003938001608,Zuivel & Eieren,Desserts,2.29,2.1,0.19
Boom Appel Cakes 1st,8719500005690,Snoep & Chips,Mueslirepen & gezonde snacks,0.89,0.82,0.07
Bos Radijs 1st,8710147611961,Fruit & Groente,Verse Groenten,0.99,0.91,0.08
Bosuien per bos,,Fruit & Groente,Verse Groenten,0.79,0.72,0.07
Knorr Bouillon Kip 15 st 10g,8712100717963,"Olie, Sauzen & Specerijen",Bouillion,1.49,1.37,0.12
Maggi Bouillon Laag in Zout Groente 8 st 72g,8585002438461,"Olie, Sauzen & Specerijen",Bouillion,1.49,1.37,0.12
Maggi Bouillon Laag in Zout Kip 8 st 72g,8585002438508,"Olie, Sauzen & Specerijen",Bouillion,1.39,1.28,0.11
Bounty Puur 57g,40111001,Snoep & Chips,Chocolade,0.59,0.54,0.05
Boursin Knoflook & Fijne Kruiden 150g,,Kaas,Roomkaas,3.29,3.02,0.27
Brabantia Afvalzak met Trekbandaflsluiting 50-60L 30st,8710755375705,Huishouden,Keuken,7.99,7.33,0.66
Bramen 125g,8713893015762,Fruit & Groente,Vers fruit,2.49,2.28,0.21
Brandt & Levie Bio BBQ worst Cheddar Jalapeno 130g 2st,8718503361123,Slagerij,Vlees & Gevogelte,3.79,3.48,0.31
Brandt & Levie Bio BBQ worst Chorizo 130g 2st,8718503363172,Slagerij,Vlees & Gevogelte,3.29,3.02,0.27
Brandt & Levie Bio BBQ worst Naturel 130g 2st,8718503362540,Slagerij,Vlees & Gevogelte,3.29,3.02,0.27
Brandt & Levie Bio Knakworst Klassiek 80gr 3st,,Slagerij,Vlees & Gevogelte,4.99,4.58,0.41
Brandt & Levie Bio Knoflook 150g,8718503360010,Slagerij,Gedroogde Worst,6.49,5.95,0.54
Brandt & Levie Bio Roosmarijn 150g,8718503360041,Slagerij,Gedroogde Worst,6.49,5.95,0.54
Brandt & Levie Bio Venkelzaad 150g,8718503360027,Slagerij,Gedroogde Worst,6.49,5.95,0.54
Ibis Brioche Melkbroodjes 10 st 350g,4012263019817,Bakkerij,Broodjes,1.79,1.64,0.15
Broccoli per stuk,8719244867226,Fruit & Groente,Verse Groenten,0.89,0.82,0.07
Broccoliroosjes 500gr,8711606300587,Fruit & Groente,Verse Groenten,1.29,1.18,0.11
Bronchostop Hoestpastilles Tijm- en Heemstwortelextract 20st,8710537042979,Drogisterij & Cosmetica,Gezondheid,7.99,7.33,0.66
Fine Life Brood Waldkorn 1st,2241200000003,Bakkerij,Brood,2.29,2.1,0.19
Brooklyn Bakery New York Style Cheesecake 1200g,8712508501867,Bakken,Desserten,10.99,10.08,0.91
Barilla Bucatini no. 9 500g (Italië),8076800315097,"Pasta, Rijst & Granen",Pasta,1.59,1.46,0.13
Boeren van Amstel Volle Melk Pak 1l,8719327090794,Zuivel & Eieren,Melk,1.49,1.37,0.12
Boeren van Amstel Volle Yoghurt Emmer 1l,8719326498270,Zuivel & Eieren,Kwark & Yoghurt,2.2,2.02,0.18
Boeren van Amstel Volle Yoghurt Pak 1l,8719326498201,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
La Ban Cafe de Paris Knoflook 500g,8712444007768,Zuivel & Eieren,Kwark & Yoghurt,5.99,5.5,0.49
Douwe Egberts Cafitesse Koffiemelk 750ml,8711000054383,Zuivel & Eieren,Koffiemelk,7.99,7.33,0.66
Dr. Oetker Cakemeel 500g,8710466221421,Bakken,Bak- & Kookingrediënten,0.89,0.82,0.07
Calve Mayonaise Licht & Romig Squeeze 430ml (Netherlands),8710522652107,"Olie, Sauzen & Specerijen",Snacksauzen,2.89,2.65,0.24
Calve Party Saus Knoflook 320ml (Netherlands),8712566383955,"Olie, Sauzen & Specerijen",Snacksauzen,1.99,1.83,0.16
Calve Pindakaas 100% 350g,8717163800300,Ontbijt,Zoet broodbeleg,2.89,2.65,0.24
Calve Pindakaas met Stukjes Pinda 350g,8711200430925,Ontbijt,Zoet broodbeleg,2.99,2.74,0.25
Calve Pindakaas Regular 350G,8711200428953,Ontbijt,Zoet broodbeleg,2.49,2.28,0.21
Calve Saus BBQ 250ml (Netherlands),8712423001206,"Olie, Sauzen & Specerijen",Snacksauzen,1.99,1.83,0.16
Campina Botergoud Gezouten Roomboter 250g,8712800007722,Zuivel & Eieren,"Boter, Magarine",2.19,2.01,0.18
Campina Botergoud Ongezouten Roomboter 250g,8712800005612,Zuivel & Eieren,"Boter, Magarine",2.59,2.38,0.21
Campina Halfvolle Melk 1L ,8712800001164,Zuivel & Eieren,Melk,1.29,1.18,0.11
Campina Karnemelk Lang Lekker 1L,8712800147329,Zuivel & Eieren,Melk,1.29,1.18,0.11
Campina Langlekker Slagroom 200ml (Netherlands),5410438039216,Zuivel & Eieren,Kwark & Yoghurt,1.29,1.18,0.11
Campina magere kwark met een vleugje mango 500gr,8712800116264,Zuivel & Eieren,Kwark & Yoghurt,1.69,1.55,0.14
Campina magere kwark met een vleugje vanille 500gr,8712800144540,Zuivel & Eieren,Kwark & Yoghurt,1.69,1.55,0.14
Campina magere kwark naturel 500gr,8712800144526,Zuivel & Eieren,Kwark & Yoghurt,1.49,1.37,0.12
Campina Magere Yoghurt 1L (Netherlands),8712800001218,Zuivel & Eieren,Kwark & Yoghurt,1.19,1.09,0.1
Campina Mon Chou Verse Roomkaas 73+ 100g,87320138,Kaas,Roomkaas,1.49,1.37,0.12
Campina Slagroom D'Light 250g (Netherlands),8712800145264,Zuivel & Eieren,Room,1.69,1.55,0.14
Campina Vla Chocolade 1L (Netherlands),8712800001034,Zuivel & Eieren,Desserts,1.49,1.37,0.12
Campina Vla Karamel 1l,8712800001058,Zuivel & Eieren,Desserts,1.49,1.37,0.12
Campina Vla Slagroom 1L (Netherlands),8712800001256,Zuivel & Eieren,Desserts,1.49,1.37,0.12
Campina Volle Melk 1L ,8712800001157,Zuivel & Eieren,Melk,1.29,1.18,0.11
Campina Volle Yoghurt 1L (Netherlands),8712800001201,Zuivel & Eieren,Kwark & Yoghurt,1.39,1.28,0.11
"Capri-Sun Multivitamine 0,2L",4000177020487,Drankjes,Sap,0.39,0.36,0.03
"Capri-Sun Sinaasappel 0,2L",4000177019610,Drankjes,Sap,0.49,0.45,0.04
"Capri Sun Tropical 0,2L",,Drankjes,Sap,0.59,0.54,0.05
Carbonell Groene Olijven Zonder Pit 500g,8410010707226,Fruit & Groente,Groenten in blik,2.99,2.74,0.25
Dr. Oetker Casa di Mama Pepperoni Salame 415g,4001724015482,Maaltijden en Gemak,Diepvries Pizza,3.29,3.02,0.27
Dr. Oetker Casa di Mama pizza Hawaii 400g,4001724001195,Maaltijden en Gemak,Diepvries Pizza,3.29,3.02,0.27
Dr. Oetker Casa di Mama Quattro Formaggi 410g,4001724015505,Maaltijden en Gemak,Diepvries Pizza,3.29,3.02,0.27
Dr. Oetker Casa di Mama Salame Extra Piccante 415g,4001724016588,Maaltijden en Gemak,Diepvries Pizza,3.29,3.02,0.27
Dr. Oetker Casa di Mama Tonno 435g,4001724015536,Maaltijden en Gemak,Diepvries Pizza,3.29,3.02,0.27
Castello Creamy Blue Kaas 150g,5740200001012,Kaas,Zachte kaas,2.49,2.28,0.21
Catunambu Descafeinado 20st,8436576472187,"Koffie, Thee & Cacao",Cups & Pads,3.99,3.66,0.33
Catunambu Espresso Exquisito 20st,8436576472170,"Koffie, Thee & Cacao",Cups & Pads,3.99,3.66,0.33
Catunambu Lingo Ligero 20st,8436576472200,"Koffie, Thee & Cacao",Cups & Pads,3.99,3.66,0.33
Catunambu Lungo Profundo 20st,8436576472194,"Koffie, Thee & Cacao",Cups & Pads,3.99,3.66,0.33
Catunambu Ristretto 20st,8436576472163,"Koffie, Thee & Cacao",Cups & Pads,3.99,3.66,0.33
Celebrations 365g,5000159501163,Snoep & Chips,Chocolade,3.99,3.66,0.33
Champignon Holland 250g,8710147180818,Fruit & Groente,Verse Groenten,0.99,0.91,0.08
Chavroux 48+ 150g,3272770097796,Kaas,Mozzarella & Feta,2.99,2.74,0.25
HAK Chili Sin Carne Schotel 550g,8720600618161,Maaltijden en Gemak,,2.99,2.74,0.25
Conimex Chinese Eiermie 4 st 250g (China),8712566412013,"Pasta, Rijst & Granen",Mie & Noodles,1.39,1.28,0.11
Chinese roerbakmix 500 gram,8718477600068,Fruit & Groente,Gesneden groenten,2.25,2.06,0.19
Chocobollen 2st (Netherlands) ,8711576270521,Bakkerij,Cake & gebak,3.19,2.93,0.26
De Ruijter Vlokken Vlokfeest 300g,8710496080111,Ontbijt,Zoet broodbeleg,1.79,1.64,0.15
"Chocomel 0% 0,3L",8712800188278,Zuivel & Eieren,Melkdranken,1.39,1.28,0.11
Chocomel Donker 1L,8712800188346,Zuivel & Eieren,Melkdranken,1.99,1.83,0.16
"Chocomel Halfvol 1,5L",8712800187653,Zuivel & Eieren,Melkdranken,2.39,2.19,0.2
"Chocomel Vol 1,5L",8712800187646,Zuivel & Eieren,Melkdranken,2.39,2.19,0.2
Chocomel Vol 1L,8712800188322,Zuivel & Eieren,Melkdranken,1.59,1.46,0.13
Christis Halloumi Grill Kaas 250g,5290372001506,Kaas,Gegrilde & Ovenkaas,3.79,3.48,0.31
Citroen 1st,,Fruit & Groente,Vers fruit,0.59,0.54,0.05
Citroencake Mix 400g,8710466289728,Bakken,Bakmixen,1.79,1.64,0.15
Sicilia Citroensap 115ml,76106736,Bakken,Bak- & Kookingrediënten,0.89,0.82,0.07
Smint Clean Breath Peppermint 2 x 50 st 70g,8713600637980,Snoep & Chips,Kauwgom & Mints,4.09,3.75,0.34
Clipper Lemon & Ginger Organic Infusion 45g,5021991938917,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
Clipper Lemon Organic Green Tea 37g,5021991942259,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
Clipper Orange & Turmeric Organic Infusion 20 Stuks 40 g,5021991941566,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
Clipper Organic Earl Grey Tea 41g,5021991942242,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
Clipper Rooibos Infusion With A Twist of Lemon and Ginger 30g,5021991942266,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
"Clipper Snore & Peace Organic Chamomile, Lemon Balm & Lavender Infusion 30g",5021991940026,"Koffie, Thee & Cacao",Thee,2.29,2.1,0.19
"Coca Cola 1,5L Pet",5000112646627,Drankjes,Frisdranken,2.29,2.1,0.19
Coca-Cola 1L,5000112646634,Drankjes,Frisdranken,1.89,1.73,0.16
Coca-Cola Cherry 1L,5000112646962,Drankjes,Frisdranken,2.19,2.01,0.18
"Coca-Cola Light 0,33L",5449000050205,Drankjes,Frisdranken,0.69,0.63,0.06
"Coca Cola Light 1,5L Pet",5000112646900,Drankjes,Frisdranken,2.29,2.1,0.19
Coca-Cola Light 1L,5000112646931,Drankjes,Frisdranken,1.89,1.73,0.16
"Coca Cola Regular 0,33l",5449000000996,Drankjes,Frisdranken,0.79,0.72,0.07
"Coca-Cola Vanilla 0,33L",5449000098917,Drankjes,Frisdranken,0.89,0.82,0.07
"Coca-Cola Zero 0,33L",5449000131805,Drankjes,Frisdranken,0.69,0.63,0.06
"Coca Cola Zero 1,5L Pet",5000112646719,Drankjes,Frisdranken,2.29,2.1,0.19
Coca-Cola Zero 1L,5000112554533,Drankjes,Frisdranken,1.89,1.73,0.16
"Coca Cola Zero no Caffeine 1,5L Pet",5000112646948,Drankjes,Frisdranken,2.29,2.1,0.19
Turon Collell Pirineos Fuet Iberico 150g,,Slagerij,Gedroogde Worst,2.99,2.74,0.25
Barilla Collezione Cannelloni 250g (Italië),8076808070882,"Pasta, Rijst & Granen",Pasta,2.79,2.56,0.23
Barilla Collezione Lasagne All'Uovo 500g (Italië),8076800376999,"Pasta, Rijst & Granen",Pasta,4.09,3.75,0.34
Barilla Collezione Orecchiette 500g (Italië),8076809519977,"Pasta, Rijst & Granen",Pasta,1.99,1.83,0.16
Barilla Collezzione Tagliatelle all'Uovo 250g (Italië),8076809514453,"Pasta, Rijst & Granen",Pasta,2.59,2.38,0.21
Compaxo Achterham Plakken 150g (Netherlands),8710939030451,,,1.79,1.64,0.15
Compaxo Gebraden Gehakt Plakken 150g (Netherlands),8710939030475,,,1.29,1.18,0.11
Compaxo Gesneden Kipfilet Plakken 150g (Netherlands),8710939030482,,,1.89,1.73,0.16
Compaxo Knakworst 10 st 550g,8710939016097,Slagerij,Conserven,4.49,4.12,0.37
Compaxo Mini Chorizo 500g,8710939021428,Slagerij,Gedroogde Worst,7.99,7.33,0.66
Compaxo Salami Plakken 150g (Netherlands),8710939030420,,,1.49,1.37,0.12
Compaxo Schouderham Plakken 150g (Netherlands),8710939030437,,,1.29,1.18,0.11
Bonne Maman Confiture Bosbessen 370g,3045320082623,Ontbijt,Zoet broodbeleg,2.79,2.56,0.23
Conimex Kroepoek Bali 75g,8711200455409,Snoep & Chips,Chips,1.39,1.28,0.11
Conimex Kroepoek Groot Naturel 80g,8711200455324,Snoep & Chips,Chips,1.59,1.46,0.13
Conimex Noodles Wok 248g (China),8712566488407,"Pasta, Rijst & Granen",Mie & Noodles,1.29,1.18,0.11
Coolbest 70/30 Premium Orange Sinaasappel 1L,8720157464631,Drankjes,Sap,1.99,1.83,0.16
Coolbest Blueberry Breeze 1L (Netherlands),8713300049687,Drankjes,Sap,1.99,1.83,0.16
Coolbest Mango Dream 1L,8720157463887,Drankjes,Sap,1.89,1.73,0.16
Coolbest Pink Grapefruit 1L,8713300049663,Drankjes,Sap,1.99,1.83,0.16
Coolbest Premium Orange 1L (Netherlands),8720157463863,Drankjes,Sap,1.99,1.83,0.16
Coolbest Premium Orange Zonder Pulp Sinaasappel 1L,8720157464433,Drankjes,Sap,1.99,1.83,0.16
Coolbest Strawberry Hill Aardbei 1L (Netherlands),8713300049786,Drankjes,Sap,1.99,1.83,0.16
Coolbest Vitaday Original 1L (Netherlands),8720157464693,Drankjes,Sap,1.99,1.83,0.16
Coolbest Vitaday Tropical Tropisch 1L (Netherlands),8720157464716,Drankjes,Sap,1.99,1.83,0.16
Ola Cornetto King Cone Chocolade 260ml,8000920807798,Diepvries,Sundaes,1.99,1.83,0.16
Kellogg's Corn Flakes 375g,5053827185776,Ontbijt,Cornflakes & Granen,2.29,2.1,0.19
Courgette 1st,,Fruit & Groente,Verse Groenten,0.89,0.82,0.07
Croma Bakken en Braden 250g,8719200017450,Zuivel & Eieren,"Boter, Magarine",1.59,1.46,0.13
Croma Bakken en Braden Voordeelfles 750ml,8719200017597,Zuivel & Eieren,"Boter, Magarine",3.99,3.66,0.33
Quaker Cruesli Appel & Rozijn 450g,3082061,Ontbijt,Cornflakes & Granen,2.89,2.65,0.24
Quaker Cruesli Multifruit 450g,3082088,Ontbijt,Cornflakes & Granen,2.89,2.65,0.24
Quaker Cruesli Rode vruchten 450g,3082087,Ontbijt,Cornflakes & Granen,2.89,2.65,0.24
Quaker Cruesli Rozijn 450g,3082064,Ontbijt,Cornflakes & Granen,2.89,2.65,0.24
Quaker Crunchy Muesli Goji & Blauwe Bes 350g,3082070,Ontbijt,Cornflakes & Granen,2.69,2.47,0.22
Unox Cup-a-Soup Kip 10 st 1750ml,8710908977275,Maaltijden en Gemak,Soepen,4.99,4.58,0.41
Oliehoorn Currysaus 900ml (Netherlands),8713277642102,"Olie, Sauzen & Specerijen",Snacksauzen,3.99,3.66,0.33
Daging Rendang met witte rijst 450 gr,8718555310414,Maaltijden en Gemak,Maaltijden,4.99,4.58,0.41
Danerolles Croissants Classic 6 Stuks 240 g,8713788118363,Bakkerij,Afbakbroodjes,1.79,1.64,0.15
Danone Af en Toetje Sprinklins Aardbeien Yoghurt 220g (Netherlands),8713788121936,Zuivel & Eieren,Desserts,1.49,1.37,0.12
Danone Hüttenkäse Original 400g,40097176,Kaas,Zachte kaas,2.49,2.28,0.21
Debic Slagroom Spuitbus 700ml (Netherlands),5410488140351,Zuivel & Eieren,Room,6.99,6.41,0.58
Deli Di Paolo Kalamata olijven met pit 200 gram,8718247441990,Fruit & Groente,Groenten in blik,1.99,1.83,0.16
Deli Di Paolo Olijven Grieks mix 190 gram,8718247441952,Fruit & Groente,Groenten in blik,1.99,1.83,0.16
Deli Di Paolo Olijven taggiasca 180 gram,8718247441938,Fruit & Groente,Groenten in blik,3.49,3.2,0.29
"Délifrance, croissant roomboter (18%) 6 x 55g",3291810024752,Bakkerij,Afbakbroodjes,1.89,1.73,0.16
Delizie Pugliesi DuPont Burrata D'Italia Kaas 250g,8018731002691,Kaas,Mozzarella & Feta,3.99,3.66,0.33
Del Monte Tomatenpuree Dubbel Geconcentreerd 140g,24000006374,Fruit & Groente,Groenten in blik,0.79,0.72,0.07
Demak'Up Expert Ovale Wattenschijfjes 50st,3133200065634,Drogisterij & Cosmetica,Lichaams- en gezichtsverzorging,1.49,1.37,0.12
De Maro Van Dijk Banket Reuze Eierkoeken 4 st 320g,8710651018171,Bakkerij,Broodjes,1.79,1.64,0.15
De Molkerij Karnemelk 1L (Netherlands),8718166020238,Zuivel & Eieren,Melk,0.79,0.72,0.07
De PastaFabriek Conchiglie 250g,8718868985514,"Pasta, Rijst & Granen",Verse pasta,2.39,2.19,0.2
De PastaFabriek Gnocchi 250g,8718868394552,"Pasta, Rijst & Granen",Verse pasta,2.99,2.74,0.25
De PastaFabriek Gnocchi Zoete Aardappel 250g,8718868985521,"Pasta, Rijst & Granen",Verse pasta,3.19,2.93,0.26
De PastaFabriek Lasagna Bolognese 400g,8718868394361,Maaltijden en Gemak,Maaltijden,6.89,6.32,0.57
De PastaFabriek Lasagna Ravioli 400g,8720254306292,Maaltijden en Gemak,Maaltijden,5.99,5.5,0.49
De PastaFabriek Lasagna Vegetariana 400g,8719689814205,Maaltijden en Gemak,,6.49,5.95,0.54
De PastaFabriek Penne 250g,8718868985507,"Pasta, Rijst & Granen",Verse pasta,2.39,2.19,0.2
De PastaFabriek Ravioli Spinazie & Ricotta 250g,7119317019353,"Pasta, Rijst & Granen",Verse pasta,3.69,3.39,0.3
De PastaFabriek Spaghetti Arrabbiata & Meatballs 400g,1323677790371,Maaltijden en Gemak,Maaltijden,7.99,7.33,0.66
De PastaFabriek Taglitelle 250g,8718868985309,"Pasta, Rijst & Granen",Verse pasta,2.39,2.19,0.2
De PastaFabriek Thaise Kip Curry 400g,1234557890404,Maaltijden en Gemak,Maaltijden,7.99,7.33,0.66
De PastaFabriek Vegan Thaise Curry 400g,8719689814816,Maaltijden en Gemak,Maaltijden,5.59,5.13,0.46
De Ruijter Hagel Bosvruchten 300g,8710496976599,Ontbijt,Zoet broodbeleg,1.39,1.28,0.11
De Ruijter Hagelslag Puur 380g,8715700119267,Ontbijt,Zoet broodbeleg,2.49,2.28,0.21
De Ruijter Specials Hagelslag Extra Puur 240g,8710496976766,Ontbijt,Zoet broodbeleg,1.99,1.83,0.16
De Ruijter Specials Hagelslag Intens Puur 200g,8715700119472,Ontbijt,Zoet broodbeleg,1.89,1.73,0.16
De Ruijter Vlokken Melkchocolade 300g,8710496977527,Ontbijt,Zoet broodbeleg,1.79,1.64,0.15
De Ruijter Vlokken Puur Chocolade 300g,8710496977503,Ontbijt,Zoet broodbeleg,1.79,1.64,0.15
De Ruijter Vlokken Witte Chocolade 300g,8710496977480,Ontbijt,Zoet broodbeleg,1.79,1.64,0.15
De Ruijter Vruchtenhagel 400g,8710496976575,Ontbijt,Zoet broodbeleg,1.39,1.28,0.11
De Vegetarische slager Boterhamworst 80g (Netherlands),8718692783430,Vegan & Vegetarisch,Vegetarische Vleeswaren,1.79,1.64,0.15
De Vegetarische Slager Hot Dog 2100g,8718692787254,Vegan & Vegetarisch,,37.99,34.85,3.14
De Vegetarische Slager Kipstuckjes 1750g,8718692786561,Vegan & Vegetarisch,Vleesvervangers,29.99,27.51,2.48
De Vegetarische Slager Kipworst 100g (Netherlands),8718692786967,Vegan & Vegetarisch,Vegetarische Vleeswaren,2.69,2.47,0.22
De Vegetarische slager Petit Filet a l'Americain 120g (Netherlands),8718692784963,Vegan & Vegetarisch,Vegetarische Vleeswaren,2.49,2.28,0.21
De Vegetarische slager Petit Pâté 120g (Netherlands),8718692784727,Vegan & Vegetarisch,Vegetarische Vleeswaren,2.69,2.47,0.22
De Vegetarische Slager Rulgehackt 2000g,8718692786639,Maaltijden en Gemak,Friet en Snacks ,29.99,27.51,2.48
De Vegetarische Slager Spaanse Worst 100g (Netherlands),8718692786974,Vegan & Vegetarisch,Vegetarische Vleeswaren,2.69,2.47,0.22
De Vegetarische Slager Vegetarische Gyros 2000g,8718692787247,Vegan & Vegetarisch,Vleesvervangers,34.99,32.1,2.89
De Vegetarische Slager Vegetarische No Bacon Spek Bits 2000g ,8718692786622,Vegan & Vegetarisch,,39.99,36.69,3.3
Maille Dijonmosterd l'Ancienne 210g (France),3036810207589,"Olie, Sauzen & Specerijen",Snacksauzen,2.29,2.1,0.19
Maille Dijonmosterd Original 235ml (France),8711200443727,"Olie, Sauzen & Specerijen",Snacksauzen,2.39,2.19,0.2
Dille 70g,8718531900295,Fruit & Groente,Verse Kruiden,1.89,1.73,0.16
Doos praline hart wit/rood 250g,,Snoep & Chips,Chocolade,5.49,5.04,0.45
HAK Doperwtjes met Worteltjes 720ml,3084104,Fruit & Groente,Groenten in blik,2.19,2.01,0.18
Doritos Cool American 272g,8710398510624,Snoep & Chips,Tortilla & Nachos,1.99,1.83,0.16
Doritos Dip Hot Tortilla Salsa 326g,5000328237503,Snoep & Chips,Dips,1.49,1.37,0.12
Doritos Dip mild Tortilla Salsa 326g,5000328230603,Snoep & Chips,Dips,1.49,1.37,0.12
Doritos Dippers Naturel 200g,8710398603999,Snoep & Chips,Tortilla & Nachos,1.49,1.37,0.12
Doritos Flamin Hot 170g,8710398517067,Snoep & Chips,Tortilla & Nachos,1.39,1.28,0.11
Doritos Nacho Cheese 272g,8710398510587,Snoep & Chips,Tortilla & Nachos,1.49,1.37,0.12
Doritos Pure Paprika 185g,8710398170187,Snoep & Chips,Tortilla & Nachos,1.49,1.37,0.12
Doritos Sweet Chilli Pepper Nachos 272g,8710398510600,Snoep & Chips,Chips,1.99,1.83,0.16
Dorset Cereals Granola Bessen 325g,5018357011032,Ontbijt,Cornflakes & Granen,2.99,2.74,0.25
Douwe Egberts Aroma Rood Koffie Snelfilter Maling 500g,8711000003244,"Koffie, Thee & Cacao",Bonen,5.79,5.31,0.48
Douwe Egberts Café Filterkoffie Delicaat 250g,8711000856420,"Koffie, Thee & Cacao",Bonen,4.49,4.12,0.37
Douwe Egberts Espresso Koffiebonen Smooth Selection 1000g,8711000040706,"Koffie, Thee & Cacao",Bonen,21.99,20.17,1.82
Douwe Egberts Espresso Ristretto Koffiecups 10 st,8711000379745,"Koffie, Thee & Cacao",Cups & Pads,2.29,2.1,0.19
Douwe Egberts gemalen Deca Koffie 500g,8711000003107,"Koffie, Thee & Cacao",Bonen,6.49,5.95,0.54
Douwe Egberts Ice Cappuccino IJskoffie 230ml (Netherlands),8711000870198,Drankjes,Koffiedranken,1.49,1.37,0.12
Douwe Egberts Ice Caramel Latte IJskoffie 230ml (Netherlands),5410138037864,Drankjes,Koffiedranken,1.29,1.18,0.11
Douwe Egberts Intens Koffiebonen 500g,8711000650400,"Koffie, Thee & Cacao",Bonen,6.39,5.86,0.53
Senseo Douwe Egberts Koffiepads Espresso 48 st,8711000344811,"Koffie, Thee & Cacao",Cups & Pads,5.89,5.4,0.49
Senseo Douwe Egberts Koffiepads Mild 48 st 48st,8711000341124,"Koffie, Thee & Cacao",Cups & Pads,5.59,5.13,0.46
"Douwe Egberts Pure Gold Oploskoffie Sticks 200 st 1,5g",8711000254196,"Koffie, Thee & Cacao",Bonen,27.99,25.68,2.31
Senseo Douwe Egberts Classic 48 pads,8711000341032,"Koffie, Thee & Cacao",Cups & Pads,4.89,4.49,0.4
Senseo Douwe Egberts Decafe 48 pads,8711000341421,"Koffie, Thee & Cacao",Cups & Pads,4.89,4.49,0.4
Douwe Egberts Verfijnde Koffiebonen 500g,8711000650370,"Koffie, Thee & Cacao",Bonen,5.99,5.5,0.49
Calve Dressing Halfvol 450ml (Netherlands),8711200484898,"Olie, Sauzen & Specerijen",Dressing,1.99,1.83,0.16
Calve Dressing Honing Mosterd 450ml (Netherlands),8711200484874,"Olie, Sauzen & Specerijen",Dressing,1.99,1.83,0.16
Calve Dressing Naturel 450ml (Netherlands),8711200484850,"Olie, Sauzen & Specerijen",Dressing,1.99,1.83,0.16
Calve Dressing Yoghurt 450ml (Netherlands),8711200484690,"Olie, Sauzen & Specerijen",Dressing,1.99,1.83,0.16
Driessen Bacon 100gr,,Slagerij,Vleeswaren,2.69,2.47,0.22
Driessen BBQ worst 2 x 100 gr,23184700059102,Slagerij,Vlees & Gevogelte,2.39,2.19,0.2
Driessen Boerenachterham 100gr,8710376112277,Slagerij,Vleeswaren,3.49,3.2,0.29
Driessen Cervelaat 100gr,8710376554275,Slagerij,Vleeswaren,3.49,3.2,0.29
Driessen Filet Americain 150 gr,,Slagerij,Vleeswaren,2.89,2.65,0.24
Driessen Gebraden Gehakt 100gr,8710376414272,Slagerij,Vleeswaren,3.49,3.2,0.29
Driessen Gehakt half om half 250 gr,24388800059100,Slagerij,Vlees & Gevogelte,2.79,2.56,0.23
Driessen Gehakt rund 250 gr,24388900059101,Slagerij,Vlees & Gevogelte,3.09,2.83,0.26
Driessen Gerookte kipfilet  320 gr,,Slagerij,Voorgegaard Vlees,7.49,6.87,0.62
Driessen Kipfilet enkel 2 x 150 gr,24394400059104,Slagerij,Vlees & Gevogelte,5.49,5.04,0.45
Driessen Kiprollade 100gr,,Slagerij,Vleeswaren,3.49,3.2,0.29
Driessen Kip Shoarma 250 gr,24448400059107,Slagerij,Vlees & Gevogelte,3.79,3.48,0.31
Driessen Mager Rookspek Gesneden 100gr,,Slagerij,Vleeswaren,3.49,3.2,0.29
Driessen Proscuitto 100gr,,Slagerij,Vleeswaren,3.89,3.57,0.32
Driessen Pulled pork 300gr,24202900059109,Slagerij,Voorgegaard Vlees,5.89,5.4,0.49
Driessen Runderburger  2 x 120 gr,24364600059103,Slagerij,Vlees & Gevogelte,3.19,2.93,0.26
Driessen Rund kogelbiefstuk 2 x 140 gr,24351700059106,Slagerij,Vlees & Gevogelte,6.99,6.41,0.58
Driessen Salami 100gr,,Slagerij,Vleeswaren,2.49,2.28,0.21
Driessen Sate kipfilet 4 x 60 gr,24394400059105,Slagerij,Vlees & Gevogelte,4.99,4.58,0.41
